teamFotmobId,team_name
8310,Halmstad
8311,Clermont
8313,Tranmere Rovers
8314,Colorado Rapids
8315,Athletic Bilbao
8317,Mérida AD
8319,Erzgebirge Aue
8322,Arka Gdynia
8326,Amstetten
8332,Breidablik
8333,Trelleborg
8334,Ethnikos Achnas
8337,Sūduva
8338,Derry City
8339,Drogheda United
8340,Maribor
8341,Llanelli Town
8342,Club Brugge
8344,Cardiff City
8345,Woking
8346,Luton Town
8348,Moreirense
8349,AIK
8350,Kaiserslautern
8351,Leyton Orient
8355,Botafogo SP
8357,Greuther Fürth
8358,Freiburg
8359,GIF Sundsvall
8369,Debrecen
8370,Rayo Vallecano
8371,Osasuna
8372,Eibar
8385,Cádiz
8387,Ankara Keçiörengücü
8391,København
8392,Real Murcia
8393,Albacete
8394,Real Zaragoza
8395,Borussia Dortmund II
8396,Alemannia Aachen
8397,Mainz 05 II
8398,Energie Cottbus
8400,Gimnàstic Tarragona
8401,Plymouth Argyle
8402,Bodø / Glimt
8404,Aalesund
8405,Moss
8406,Augsburg
8407,Kickers Offenbach
8410,Randers
8411,Preston North End
8412,Scunthorpe United
8414,OB
8415,Silkeborg
8416,Colchester United
8417,Fredrikstad
8421,Skeid
8422,Rosenborg
8425,Enköping
8426,Partick Thistle
8427,Bristol City
8428,Häcken
8430,Lincoln City
8448,HamKam
8449,IFK Norrköping
8450,Peñarol
8451,Charlton Athletic
8453,B.93
8454,Fredericia
8455,Chelsea
8456,Manchester City
8457,Dunfermline Athletic
8458,Stuttgart II
8459,Köln II
8460,Paderborn
8462,Portsmouth
8463,Leeds United
8464,NEC
8465,Aldershot Town
8466,Southampton
8467,St. Johnstone
8468,Brann
8470,AaB
8472,Sunderland
8473,Jaro
8474,Racing Ferrol
8475,SK Beveren
8476,Lillestrøm
8478,Viking
8480,Dynamo Dresden
8481,Nancy
8482,Sambenedettese
8483,Blackpool
8484,Bradford City
8485,Aberdeen
8487,Sønderjyske
8488,Hartlepool United
8489,Morecambe
8493,Rochdale
8500,Ljungskile
8501,Brommapojkarna
8509,Sarpsborg 08
8510,Jönköpings Södra
8511,Landskrona
8512,Haugesund
8514,Santos
8517,Botafogo
8521,Brest
8522,Ascoli
8524,Atalanta
8525,Willem II
8526,De Graafschap
8527,Örebro Syrianska
8528,Wigan Athletic
8529,Cagliari
8530,Catania
8531,Bryne
8534,Empoli
8535,Fiorentina
8537,Livorno
8539,Ventforet Kofu
8540,Palermo
8542,Kyoto Sanga
8543,Lazio
8545,Ravenna
8548,Rangers
8549,Middlesbrough
8550,Metz
8554,Cartagena
8558,Espanyol
8559,Bolton Wanderers
8560,Real Sociedad
8561,Tigres UANL
8562,Danubio
8563,AEK Athens
8564,Milan
8571,Kortrijk
8577,Al Ittihad
8581,Levante
8582,Rouen
8583,Auxerre
8586,Tottenham Hotspur
8587,Amiens SC
8588,Lens
8592,Olympique Marseille
8593,Ajax
8595,Brøndby
8596,Falkirk
8597,Kilmarnock
8598,Darlington 1883
8599,Macclesfield Town
8600,Udinese
8601,Umeå
8602,Wolverhampton Wanderers
8603,Real Betis
8605,Kristiansund
8608,Tromsø
8609,Sandefjord
8611,Twente
8614,Sparta Rotterdam
8616,Sogndal
8619,PAOK
8621,APOEL
8622,Konyaspor
8623,Shandong Taishan
8632,Levski Sofia
8633,Real Madrid
8634,Barcelona
8635,Anderlecht
8636,Internazionale
8637,Galatasaray
8638,Olympiacos Piraeus
8639,Lille
8640,PSV
8641,Öster
8643,Spartak Moskva
8645,Milton Keynes Dons
8646,Boston United
8647,Crawley Town
8648,Greenock Morton
8649,Ross County
8650,Liverpool
8651,Northampton Town
8652,Southend United
8653,Oxford United
8654,West Ham United
8655,Blackburn Rovers
8657,Sheffield United
8658,Birmingham City
8659,West Bromwich Albion
8661,Mallorca
8668,Everton
8669,Coventry City
8670,Real Oviedo
8671,Accrington Stanley
8673,Legia Warszawa
8674,Groningen
8676,Wycombe Wanderers
8677,Peterborough United
8678,Bournemouth
8680,Cheltenham Town
8682,Le Mans
8683,Rubin Kazan'
8685,Perugia
8686,Roma
8687,Crvena Zvezda
8688,Dynamo Kyiv
8689,Lorient
8691,Karpaty
8692,OFK Beograd
8695,Fenerbahçe
8696,Racing Santander
8697,Werder Bremen
8698,Zenit
8699,Kashiwa Reysol
8702,Internacional
8705,Rostov
8708,Akhmat Grozny
8709,Krylya Sovetov
8710,Lokomotiv Moskva
8717,Bedford Town
8718,Bnei Sakhnin
8721,Wolfsburg
8722,Köln
9723,FCS Bucureşti
9728,Shakhtar Donetsk
9729,Sheriff
9731,CFR Cluj
9732,Argeș
9736,Oţelul
9738,Rapid Bucureşti
9743,Waldhof Mannheim
9746,Le Havre
9747,Guingamp
9748,Olympique Lyonnais
9750,Samsunspor
9752,Trabzonspor
9753,1860 München
9754,Hapoel Be'er Sheva
9755,Maccabi Petah Tikva
9756,JEF United
9757,Sportfreunde Siegen
9760,CSKA Moskva
9761,NAC Breda
9763,Dinamo Moskva
9764,Gil Vicente
9765,Portimonense
9767,Coritiba
9768,Sporting CP
9769,Grêmio
9770,Flamengo
9771,União de Leiria
9772,Benfica
9773,Porto
9774,Chaves
9775,Osnabrück
9776,Eintracht Braunschweig
9777,Servette
9780,Alverca
9781,Cruzeiro
9783,Deportivo La Coruña
9784,Crewe Alexandra
